variable,missing_n,missing_pct,nonmissing_n,count,mean,std,min,5%,25%,50%,75%,95%,max
representative_aa_model_id,0,0.0,5160,,,,,,,,,,
representative_aa_model_name,0,0.0,5160,,,,,,,,,,
representative_aa_creator_name,0,0.0,5160,,,,,,,,,,
representative_aa_source_table,0,0.0,5160,,,,,,,,,,
aa_model_ids,5160,1.0,0,0.0,,,,,,,,,
aa_model_names,5160,1.0,0,0.0,,,,,,,,,
aa_intelligence_index,1118,0.21666666666666667,4042,4042.0,26.75106382978724,13.187840758880757,4.8,10.0,16.0,25.0,34.7,53.0,56.8
aa_coding_index,2150,0.4166666666666667,3010,3010.0,28.697142857142854,12.568857939624868,2.2,6.8,22.2,26.3,34.1,53.1,57.3
aa_math_index,3182,0.6166666666666667,1978,1978.0,69.3391304347826,25.30026451590544,7.7,10.3,56.3,74.3,88.0,93.4,99.0
mmlu_pro,1806,0.35,3354,3354.0,0.7607692307692308,0.1148611571048151,0.378,0.485,0.713,0.805,0.841,0.874,0.875
gpqa,1376,0.26666666666666666,3784,3784.0,0.6662045454545454,0.18126344531192431,0.229,0.324,0.57575,0.7275,0.79225,0.903,0.92
hle,1376,0.26666666666666666,3784,3784.0,0.1203409090909091,0.10403951930584686,0.035,0.036,0.044,0.09,0.1735,0.367,0.416
livecodebench,1720,0.3333333333333333,3440,3440.0,0.5111249999999999,0.23958943282541725,0.095,0.1766000000000008,0.29325,0.55,0.71475,0.8599499999999948,0.889
scicode,1376,0.26666666666666666,3784,3784.0,0.35320454545454544,0.10492759191849878,0.052,0.181,0.2925,0.3595,0.41,0.521,0.566
math_500,2150,0.4166666666666667,3010,3010.0,0.8636571428571429,0.14594241043069883,0.48,0.483,0.773,0.924,0.979,0.992,0.992
aime,2322,0.45,2838,2838.0,0.48090909090909095,0.3264023148083519,0.0,0.033,0.18,0.477,0.773,0.933,0.94
price_1m_input_tokens,1118,0.21666666666666667,4042,4042.0,5.10127659574468,21.686508911608286,0.0,0.0,0.0,0.8,2.0,15.0,150.0
price_1m_output_tokens,1118,0.21666666666666667,4042,4042.0,21.72255319148936,86.81426185987213,0.0,0.0,0.0,4.0,14.0,66.0,600.0
price_1m_blended_3_to_1,1118,0.21666666666666667,4042,4042.0,9.256425531914893,37.9632756564773,0.0,0.0,0.0,1.6,4.813,28.875,262.5
median_output_tokens_per_second,1118,0.21666666666666667,4042,4042.0,60.34997872340425,62.12071174948299,0.0,0.0,0.0,56.317,95.3,214.083,217.367
median_time_to_first_token_seconds,1118,0.21666666666666667,4042,4042.0,11.497872340425532,28.225973883979908,0.0,0.0,0.0,0.664,8.849,61.275,170.499
median_time_to_first_answer_token,1118,0.21666666666666667,4042,4042.0,12.791382978723405,28.43932863802564,0.0,0.0,0.0,1.137,11.032,61.275,170.499
aa_media_task,5160,1.0,0,0.0,,,,,,,,,
aa_media_elo,4042,0.7833333333333333,1118,1118.0,1108.6923076923076,88.00473126496631,917.0,917.0,1092.0,1117.0,1173.0,1228.0,1228.0
aa_media_rank,4042,0.7833333333333333,1118,1118.0,47.61538461538461,26.23426953976882,5.0,5.0,38.0,43.0,62.0,109.0,109.0
aa_media_ci95,4042,0.7833333333333333,1118,1118.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
aa_media_appearances,4042,0.7833333333333333,1118,1118.0,5657.615384615385,2186.013632861799,3057.0,3057.0,4663.0,5156.0,5684.0,10761.0,10761.0
aa_media_category_rows,4042,0.7833333333333333,1118,1118.0,30.923076923076923,18.59475442766194,14.0,14.0,15.0,15.0,54.0,55.0,55.0
release_date_confidence,0,0.0,5160,,,,,,,,,,
