0,6,1,16
FMR-0001,LLaMA 3,2024/4/18,86
FMR-0002,Imagen 3,2024/5/14,86
FMR-0003,Gemini Flash 1.5,2024/5/30,86
FMR-0004,Stable Diffusion 3,2024/6/12,86
FMR-0005,Gemini 1.5 Flash,2024/8/8,86
FMR-0006,Grok 2,2024/8/13,86
FMR-0007,Imagen 3,2024/8/28,86
FMR-0008,o1 preview,2024/9/12,86
FMR-0009,o1 mini,2024/9/12,86
FMR-0010,Gemini 1.5 002 family,2024/9/24,86
FMR-0011,Gemini 1.5 Pro,2024/10/3,86
FMR-0012,Gemini 1.5 Flash8B,2024/10/3,86
FMR-0013,Claude 3.5 Sonnet New / Haiku family,2024/10/22,86
FMR-0014,Qwen2.5 Coder 32B,2024/11/12,86
FMR-0015,Llama 3.3 70B,2024/12/6,86
FMR-0016,SORA,2024/12/9,86
FMR-0017,Gemini-2.0-Flash-Thinking,2024/12/11,86
FMR-0018,o1,2024/12/17,86
FMR-0019,o1 Pro,2024/12/17,86
FMR-0020,o3 family announcement,2024/12/20,86
FMR-0021,DeepSeek R1,2025/1/22,86
FMR-0022,Qwen2.5-Max,2025/1/28,86
FMR-0023,o3 mini,2025/1/31,86
FMR-0024,Gemini 2.0 family,2025/2/5,86
FMR-0025,Grok 3 family,2025/2/17,86
FMR-0026,Claude 3.7,2025/2/18,86
FMR-0027,Gemini 2.0 Flash-Lite Preview,2025/2/25,86
FMR-0028,Phi-4 mini / multimodal family,2025/2/26,86
FMR-0029,Gemini 2.0 Flash Experimental,2025/3/12,86
FMR-0030,Runway Gen-4,2025/3/31,86
FMR-0031,Veo 2.0,2025/4/15,86
FMR-0032,Kling 2.0,2025/4/15,86
FMR-0033,o3 full,2025/4/16,86
FMR-0034,o4 mini,2025/4/16,86
FMR-0035,Vidu Q1,2025/4/21,86
FMR-0036,Gemini 2.5 Pro,2025/5/6,86
FMR-0037,Gemma 3n,2025/5/20,86
FMR-0038,Claude Sonnet 4,2025/5/21,86
FMR-0039,Google I/O media model family,2025/5/21,86
FMR-0040,Claude 4 Opus,2025/5/22,86
FMR-0041,Gemini 2.5 Flash,2025/6/17,86
FMR-0042,Gemini 2.5 Pro,2025/6/17,86
FMR-0043,Qwen3-235B-A22B-Instruct-2507,2025/7/21,86
FMR-0044,Qwen3-Coder,2025/7/22,86
FMR-0045,GLM-4.5,2025/7/28,86
FMR-0046,gpt-oss family,2025/8/5,86
FMR-0047,Gemini 2.5 Flash Image,2025/8/26,86
FMR-0048,Qwen-3-Max,2025/9/5,86
FMR-0049,Claude Sonnet 4.5,2025/9/25,86
FMR-0050,Claude 4.5 Haiku,2025/10/14,86
FMR-0051,Mistral 3,2025/12/2,86
FMR-0052,Devstral 2,2025/12/9,86
FMR-0053,Z-Image-Turbo,2025/12/18,86
FMR-0054,GPT-5.2,2025/12/18,86
FMR-0055,Qwen-Image-2512,2025/12/31,86
FMR-0056,Claude Opus 4.6,2026/2/5,86
FMR-0057,GPT-5.3-Codex,2026/2/12,86
FMR-0058,Claude Sonnet 4.6,2026/2/16,86
FMR-0059,Nano Banana 2,2026/2/26,86
FMR-0060,GPT-5.4 family,2026/3/17,86
