term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,variable,variable_label,outcome_label
downstream_any,-0.01861850903478788,0.0057191443586170196,-3.255471075272898,0.002127611868071787,-0.030130549543832957,-0.0071064685257427995,46,car_10,car_10,3780,47,downstream_any,Any downstream,"CAR[0,+10]"
downstream_any,-0.0281827475816408,0.007047204224225337,-3.9991387626826986,2.2849875548143682e-4,-0.04236803394927039,-0.013997461214011209,46,car_15,car_15,3780,47,downstream_any,Any downstream,"CAR[0,+15]"
downstream_any,-0.03304765624928023,0.008711718076246912,-3.7934717308388226,4.319999765728099e-4,-0.05058343522398447,-0.015511877274575987,46,car_20,car_20,3780,47,downstream_any,Any downstream,"CAR[0,+20]"
downstream_deployer,-0.00997314439306413,0.0041996312273142435,-2.3747667005138866,0.021786453490024664,-0.01842656360760957,-0.001519725178518689,46,car_10,car_10,3780,47,downstream_deployer,Downstream deployer,"CAR[0,+10]"
downstream_deployer,-0.015771404267049538,0.005011245183610698,-3.147202679012792,0.002890879240099843,-0.0258585176422457,-0.0056842908918533774,46,car_15,car_15,3780,47,downstream_deployer,Downstream deployer,"CAR[0,+15]"
downstream_deployer,-0.020202667042562496,0.005395031462979562,-3.7446801156197504,5.014329735655962e-4,-0.031062302130425906,-0.009343031954699087,46,car_20,car_20,3780,47,downstream_deployer,Downstream deployer,"CAR[0,+20]"
upstream_any,0.012720329108880928,0.005965988928663236,2.1321409176216988,0.0383669168084743,7.114162511726602e-4,0.024729241966589197,46,car_10,car_10,3780,47,upstream_any,Any upstream,"CAR[0,+10]"
upstream_any,0.023021229155017125,0.007725261572058473,2.9799934850468612,0.004592821702339892,0.007471084136119235,0.03857137417391501,46,car_15,car_15,3780,47,upstream_any,Any upstream,"CAR[0,+15]"
upstream_any,0.02870666730916057,0.0090276396747382,3.179864099969526,0.0026369670975721388,0.010534971139249623,0.04687836347907152,46,car_20,car_20,3780,47,upstream_any,Any upstream,"CAR[0,+20]"
upstream_hardware,0.01154483230062933,0.006743321796353365,1.7120393552733184,0.09362436212567365,-0.0020287704653478168,0.02511843506660648,46,car_10,car_10,3780,47,upstream_hardware,Upstream hardware,"CAR[0,+10]"
upstream_hardware,0.022620391172724262,0.008578465860420189,2.6368807127963874,0.011373127918241799,0.00535283499680389,0.039887947348644634,46,car_15,car_15,3780,47,upstream_hardware,Upstream hardware,"CAR[0,+15]"
upstream_hardware,0.030522800297261083,0.009668845848652602,3.1568194151646938,0.002813819019249435,0.011060423041877869,0.0499851775526443,46,car_20,car_20,3780,47,upstream_hardware,Upstream hardware,"CAR[0,+20]"
