term,estimate,std.error,p.value,conf.low,conf.high,variable,variable_label,y_var,n,n_events,moderator
Position main effect (at mean sentiment),0.028040584899401887,0.009093458522831254,0.002045126522299556,0.01021740619465263,0.04586376360415115,upstream_hardware,Upstream hardware,car_20,4198,54,media_sentiment_z
Sentiment main effect,-0.012240197567637673,0.005581047657512315,0.028294987609530028,-0.02317905097636181,-0.0013013441589135345,upstream_hardware,Upstream hardware,car_20,4198,54,media_sentiment_z
Interaction (position x sentiment),0.0016624372583839311,0.008962260757753228,0.8528423156146208,-0.015903593826812393,0.019228468343580257,upstream_hardware,Upstream hardware,car_20,4198,54,media_sentiment_z
Position effect at -1 SD sentiment,0.026378147641017955,0.01292426678191016,0.04125298717154826,0.0010465847484740429,0.05170971053356187,upstream_hardware,Upstream hardware,car_20,4198,54,media_sentiment_z
Position effect at +1 SD sentiment,0.029703022157785818,0.01260910542992029,0.018488818632489263,0.0049891755151420525,0.054416868800429584,upstream_hardware,Upstream hardware,car_20,4198,54,media_sentiment_z
Position main effect (at mean sentiment),0.02757610837516765,0.008424492472898773,0.0010628989359601111,0.011064103128286054,0.044088113622049244,upstream_any,Any upstream,car_20,4198,54,media_sentiment_z
Sentiment main effect,-0.014094447707488465,0.005831599235061094,0.015652907491557705,-0.025524382208208206,-0.0026645132067687222,upstream_any,Any upstream,car_20,4198,54,media_sentiment_z
Interaction (position x sentiment),0.007880959650462975,0.00795294894987354,0.3217109235735453,-0.007706820291289164,0.023468739592215113,upstream_any,Any upstream,car_20,4198,54,media_sentiment_z
Position effect at -1 SD sentiment,0.019695148724704674,0.011068257612991957,0.07516989734952198,-0.0019986361967595616,0.04138893364616891,upstream_any,Any upstream,car_20,4198,54,media_sentiment_z
Position effect at +1 SD sentiment,0.035457068025630624,0.01208042276838402,0.0033345629689795478,0.011779439399597944,0.05913469665166331,upstream_any,Any upstream,car_20,4198,54,media_sentiment_z
Position main effect (at mean sentiment),-0.029031099303646526,0.008935063929076824,0.001157624320753277,-0.0465438246046371,-0.01151837400265595,downstream_any,Any downstream,car_20,4198,54,media_sentiment_z
Sentiment main effect,-0.007914011305371697,0.005817443087643782,0.17370545918414598,-0.01931619975715351,0.0034881771464101152,downstream_any,Any downstream,car_20,4198,54,media_sentiment_z
Interaction (position x sentiment),-0.005860627724624696,0.009251947566552647,0.5264411251012605,-0.023994444955067886,0.012273189505818492,downstream_any,Any downstream,car_20,4198,54,media_sentiment_z
Position effect at -1 SD sentiment,-0.02317047157902183,0.014385654387874921,0.10725273459363913,-0.05136635417925667,0.0050254110212130144,downstream_any,Any downstream,car_20,4198,54,media_sentiment_z
Position effect at +1 SD sentiment,-0.03489172702827122,0.011131969736505463,0.0017222275284286312,-0.05671038771182193,-0.013073066344720517,downstream_any,Any downstream,car_20,4198,54,media_sentiment_z
Position main effect (at mean sentiment),-0.01844149858532963,0.005602114472697271,9.951943502729465e-4,-0.02942164295181628,-0.007461354218842978,downstream_deployer,Downstream deployer,car_20,4198,54,media_sentiment_z
Sentiment main effect,-0.012111246719764714,0.004616572444776272,0.00870497697156559,-0.02115972871152621,-0.003062764728003221,downstream_deployer,Downstream deployer,car_20,4198,54,media_sentiment_z
Interaction (position x sentiment),0.001965795375739172,0.003613584180846001,0.5864404099781579,-0.005116829618718989,0.009048420370197334,downstream_deployer,Downstream deployer,car_20,4198,54,media_sentiment_z
Position effect at -1 SD sentiment,-0.0204072939610688,0.007636511811116818,0.007532610885786861,-0.03537485711085776,-0.005439730811279837,downstream_deployer,Downstream deployer,car_20,4198,54,media_sentiment_z
Position effect at +1 SD sentiment,-0.016475703209590457,0.0055287468519731224,0.0028824198560210104,-0.027312047039457776,-0.005639359379723138,downstream_deployer,Downstream deployer,car_20,4198,54,media_sentiment_z
