"subsample","n_specs","n_sig_05","pct_sig_05","n_sig_10","pct_sig_10","pct_positive","median_est","mean_est","sd_est"
"us_creator",42,20,47.6,25,59.5,100,0.00111,0.001352,0.000599
"open_source",42,16,38.1,16,38.1,7.1,-0.000599,-0.001242,0.001264
"owner",42,15,35.7,21,50,35.7,-0.001469,-0.000571,0.001966
"real_downstream",42,14,33.3,16,38.1,73.8,0.000786,0.000676,0.001013
"closed_source",42,11,26.2,16,38.1,88.1,0.000512,0.000652,0.000793
"investor",42,9,21.4,13,31,45.2,-0.00075,-0.000658,0.001847
"all",42,5,11.9,12,28.6,83.3,0.000342,0.000366,0.000504
"text_or_reason",42,5,11.9,12,28.6,83.3,0.000342,0.000366,0.000504
"cloud",42,4,9.5,5,11.9,50,1.9e-05,-0.000332,0.00156
"downstream_comp",42,4,9.5,11,26.2,47.6,-6.2e-05,8.5e-05,0.000666
"broad_downstream",42,3,7.1,7,16.7,47.6,-1.2e-05,0.000166,0.000794
"business_downstream",42,3,7.1,7,16.7,47.6,-1.2e-05,0.000166,0.000794
"competitor",42,3,7.1,6,14.3,47.6,-8.8e-05,-0.000151,0.000414
"non_us_creator",42,3,7.1,6,14.3,35.7,-0.000185,1e-05,0.000591
"broad_upstream",42,2,4.8,3,7.1,100,0.000434,0.00059,0.000443
"business_upstream",42,2,4.8,3,7.1,100,0.000434,0.00059,0.000443
"real_upstream",42,0,0,1,2.4,52.4,3.3e-05,0.000229,0.000438
"positive_rel",42,0,0,1,2.4,50,9e-06,0.000132,0.000488
