"outcome","spec","sample","coef","se","p_value","stars","ci_lo","ci_hi","n","n_events","r2"
"car_1","base","all",0.000336,0.000177,0.06408,"*",-2.1e-05,0.000693,3763,47,0.015
"car_1","base+VIX","all",0.000317,0.000182,0.08863,"*",-5e-05,0.000684,3763,47,0.0154
"car_1","base+VIX+news","all",0.000315,0.000182,0.09047,"*",-5.2e-05,0.000682,3763,47,0.0154
"car_1","base+VIX+news","closed_source",0.000361,0.000244,0.1477,"",-0.000134,0.000855,2886,36,0.0146
"car_5","base","all",0.000347,0.00028,0.2217,"",-0.000217,0.000911,3778,47,0.0319
"car_5","base+VIX","all",0.000343,0.000285,0.2356,"",-0.000231,0.000917,3778,47,0.0319
"car_5","base+VIX+news","all",0.000336,0.000285,0.244,"",-0.000237,0.00091,3778,47,0.0322
"car_5","base+VIX+news","closed_source",0.000587,0.000376,0.1272,"",-0.000176,0.001349,2899,36,0.0379
"car_20","base","all",0.001521,0.000667,0.02715,"**",0.00018,0.002863,3780,47,0.1065
"car_20","base+VIX","all",0.001454,0.000697,0.04243,"**",5.2e-05,0.002857,3780,47,0.1069
"car_20","base+VIX+news","all",0.001488,0.00065,0.02663,"**",0.00018,0.002796,3780,47,0.1088
"car_20","base+VIX+news","closed_source",0.002315,0.000597,0.0004446,"***",0.001103,0.003527,2899,36,0.104
