"event","date","tier","CAR1","CAR5","CAR20","AA","VIX","log_news_w1"
"Gemini 1.5 Pro","2024/10/3","Tier 2",-0.003305607,0.011933667,0.064203743,16,20.49,1.6094379124341
"Gemini 1.5 Flash8B","2024/10/3","Tier 2",-0.003305607,0.011933667,0.064203743,11.1,20.49,0
"Gemini-2.0-Flash-Thinking","2024/12/11","Tier 1",0.098182025,0.143390141,0.123810771,12.3,13.58,3.43398720448515
"Imagen 3","2024/5/14","Tier 2",-0.004283348,-0.001485702,0.005456687,NA,13.42,0
"Gemini Flash 1.5","2024/5/30","Tier 2",-0.018766319,-0.009448571,-0.064527106,10.5,14.47,1.09861228866811
"Imagen 3","2024/8/28","Tier 1",-0.018479533,-0.013620746,-0.072506755,NA,17.11,0
"Gemini 1.5 Flash","2024/8/8","Tier 2",0.001146245,-0.044530637,-0.119066834,13.8,23.79,0.693147180559945
"Gemini 1.5 002 family","2024/9/24","Tier 2",-0.01051715,0.018195673,0.038830562,16,15.39,0
"Gemini 2.0 Flash-Lite Preview","2025/2/25","Tier 2",-0.030211519,-0.050268769,-0.17403543,14.5,19.43,0
"Gemini 2.0 family","2025/2/5","Tier 2",-0.067362866,-0.082397821,-0.152397432,18.1,15.77,3.89182029811063
"Gemini 2.0 Flash Experimental","2025/3/12","Tier 1",0.005635143,-0.029649063,-0.024160188,16.8,24.23,1.79175946922805
"Veo 2.0","2025/4/15","Tier 1",-0.009110667,-0.007196886,-0.029345944,NA,30.12,2.70805020110221
"Gemma 3n","2025/5/20","Tier 3",0.039880971,0.048885704,0.086488311,4.8,18.09,0
"Google I/O media model family","2025/5/21","Tier 1",0.052493847,0.060513562,0.106228159,NA,20.87,1.94591014905531
"Gemini 2.5 Pro","2025/5/6","Tier 2",-0.064305536,-0.044854984,0.038243863,34.6,24.76,3.04452243772342
"Gemini 2.5 Flash","2025/6/17","Tier 2",-0.00552569,-0.044656362,0.004447836,27,21.6,2.484906649788
"Gemini 2.5 Pro","2025/6/17","Tier 1",-0.00552569,-0.044656362,0.004447836,34.6,21.6,0
"Gemini 2.5 Flash Image","2025/8/26","Tier 1",0.000451934,0.046134996,0.173621023,NA,14.62,3.13549421592915
"Nano Banana 2","2026/2/26","Tier 2",-0.001016372,-0.035945484,-0.102525092,NA,18.63,3.29583686600433
