variable,missing_n,missing_pct,nonmissing_n
final_event_id,0,0.0,5160
release_date,0,0.0,5160
release_date_norm,0,0.0,5160
release_year,0,0.0,5160
event_name,0,0.0,5160
true_model_creator,0,0.0,5160
creator_country,0,0.0,5160
creator_type,0,0.0,5160
model_names,0,0.0,5160
company,0,0.0,5160
company_id,0,0.0,5160
relationship,5160,1.0,0
industry,0,0.0,5160
industry_2,0,0.0,5160
size (log_assets),3060,0.5930232558139535,2100
BM_Ratio,3071,0.5951550387596899,2089
volatility,227,0.0439922480620155,4933
Momentum,268,0.05193798449612403,4892
"异常收益[?10,?2]",131,0.025387596899224808,5029
car_1,130,0.025193798449612403,5030
car_2,124,0.024031007751937984,5036
car_3,115,0.022286821705426358,5045
car_5,111,0.021511627906976746,5049
car_10,107,0.020736434108527133,5053
car_15,107,0.020736434108527133,5053
car_20,107,0.020736434108527133,5053
