company_id,company,search_code_1,search_code_2,industry,industry_2,size_log_assets,bm_ratio,volatility,momentum
000660 KS,SK海力士,SK海力士45400,SK海力士2024Q2,信息技术,半导体和半导体设备,6.51,0.56,0.3191742013378649,0.9559523809523808
005930 KS,三星电子,三星电子45400,三星电子2024Q2,信息技术,半导体和半导体设备,8.324,0.659,0.200787418063588,0.1876019575856444
2353 TT,宏基（台湾）,宏基（台湾）45400,宏基（台湾）2024Q2,信息技术,技术硬件、存储和外围设备,3.96,0.5,0.3713807872505485,0.6981481481481482
2395 TT,研华科技（台湾）,研华科技（台湾）45400,研华科技（台湾）2024Q2,信息技术,技术硬件、存储和外围设备,5.209,0.622,0.2207564577029993,0.0730027548209366
3443 TT,创见资讯（台湾）,创见资讯（台湾）45400,创见资讯（台湾）2024Q2,信息技术,技术硬件、存储和外围设备,1.916922612,0.008230236,0.4964618295486789,0.1991150442477876
3690 HK,美团,美团45400,美团2024Q2,非必需消费品,互联网零售,6.481,0.328,0.5393913791392096,-0.306748466
4755 JP,乐天集团（日本）,乐天集团（日本）45400,乐天集团（日本）2024Q2,非必需消费品,互联网零售,7.323830566,1.034433895,0.4452534852030367,0.3171974522292995
5803 JP,三菱电机（日本）,三菱电机（日本）45400,三菱电机（日本）2024Q2,工业,电气设备,1.188,5.02,0.5322680660918335,1.2765237020316027
6588 JP,东芝（日本）,东芝（日本）45400,东芝（日本）2024Q2,工业,工业集团,2.26,0.94,0.3071585064694576,-0.15862069
6701 JP,NEC（日本）,NEC（日本）45400,NEC（日本）2024Q2,信息技术,IT服务,6.8,0.191,0.3273953933269686,1.2064451158106748
6702 JP,富士通（日本）,富士通（日本）45400,富士通（日本）2024Q2,信息技术,IT服务,6.82,0.42,0.3130442209117514,0.369109234540997
6758 JP,索尼（日本）,索尼（日本）45400,索尼（日本）2024Q2,通信服务,娱乐,8.592,0.274,0.4972695121923585,0.8792107795957651
6954 JP,松下（日本）,松下（日本）45400,松下（日本）2024Q2,非必需消费品,家用电器,5.86,0.536,0.2611643737568425,-0.053064761
700 HK,腾讯控股,腾讯控股45400,腾讯控股2024Q2,通信服务,互联网服务和基础设施,8.177,0.32,0.3710226493019899,-0.146140247
AAPL,苹果,苹果45400,苹果2024Q2,信息技术,技术硬件、存储和外围设备,10.214,0.0227,0.1826389248148363,0.120774193548387
ACN,埃森哲,埃森哲45400,埃森哲2024Q2,信息技术,IT服务,7.76,0.550369215,0.1770862407903596,0.49068
ADBE,Adobe,Adobe45400,Adobe2024Q2,信息技术,软件,7.91,0.06,0.3779963845499458,0.4348020327246329
AI,C3.ai（美国）,C3.ai（美国）45400,C3.ai（美国）2024Q2,信息技术,软件,2.400618833,0.211700433,0.7850311232774075,0.3436632747456059
AMBA,Ambarella（美国）,Ambarella（美国）45400,Ambarella（美国）2024Q2,信息技术,半导体和半导体设备,3.1,0.269,0.406086072248293,-0.358937638
AMD,AMD,AMD45400,AMD2024Q2,信息技术,半导体和半导体设备,7.78,0.221,0.5120329712421097,0.9485895339329518
AMP IM,Amplifon（意大利）,Amplifon（意大利）45400,Amplifon（意大利）2024Q2,医疗保健,医疗保健设备,4.36,0.21,0.2944354475831498,0.0633590345289976
AMZN,亚马逊,亚马逊45400,亚马逊2024Q2,非必需消费品,互联网零售,9.675,0.128,0.2856516110031136,0.7633148054573016
APP,AppLovin,AppLovin45400,AppLovin2024Q2,信息技术,软件,4.89,0.097,0.6532057890860954,4.040680473372782
AVGO,博通,博通45400,博通2024Q2,信息技术,半导体和半导体设备,2.83,0.04,0.371712734930101,0.9606973058637084
BABA,阿里巴巴,阿里巴巴45400,阿里巴巴2024Q2,非必需消费品,互联网零售,7.87,0.55,0.3533626474182875,-0.099777723
BIDU,百度,百度45400,百度2024Q2,通信服务,互联网服务和基础设施,2.28,0.59,0.3868567117882628,-0.286502315
CCC,CCC Intelligent Solutions（美国）,CCC Intelligent Solutions（美国）45400,CCC Intelligent Solutions（美国）2024Q2,信息技术,软件,6.53,0.26,0.2526079025050235,0.3277027027027024
CDNS,Cadence Design Systems,Cadence Design Systems45400,Cadence Design Systems2024Q2,信息技术,软件,6.66,0.044,0.2799863176367634,0.4546113689095128
CRM,Salesforce,Salesforce45400,Salesforce2024Q2,信息技术,软件,7.387,0.37,0.2856323288404943,0.6256965106843386
CRWV,CareCloud,CareCloud45400,CareCloud2024Q2,医疗保健,医疗保健技术,6.53,0.26,,
CSCO,思科,思科45400,思科2024Q2,信息技术,通信设备,7.695,0.204,0.2137195573189003,-0.018330345
CYBR,CyberArk,CyberArk45400,CyberArk2024Q2,信息技术,软件,6.52,0.086,0.2120409838130981,0.4182418241824184
DDOG,Datadog,Datadog45400,Datadog2024Q2,信息技术,软件,6.05,0.05,0.5615318578165194,0.7614398134654619
DXC,DXC Technology（美国）,DXC Technology（美国）45400,DXC Technology（美国）2024Q2,信息技术,IT服务,5.78,0.796,0.3766318116539917,-0.096858639
ERIC,爱立信,爱立信45400,爱立信2024Q2,信息技术,通信设备,5.34,0.288,0.2954508069334502,0.0075614366729679
EXPN LN,Experian（英国）,Experian（英国）45400,Experian（英国）2024Q2,工业,专业服务,5.56,0.115,0.2190357180088781,0.270117113713638
FTNT,Fortinet,Fortinet45400,Fortinet2024Q2,信息技术,软件,6.11,0.091196409,0.3545435542858575,0.1033975824893824
G,Genpact（美国）,Genpact（美国）45400,Genpact（美国）2024Q2,信息技术,IT服务,6.05,0.441,0.2580641693119913,-0.239597622
GEHC,GE HealthCare,GE HealthCare45400,GE HealthCare2024Q2,医疗保健,医疗保健设备,5.807030761,0.174462128,0.3125826379868431,0.1947521097046411
GOOGL,Alphabet（谷歌）,Alphabet（谷歌）45400,Alphabet（谷歌）2024Q2,通信服务,互联网服务和基础设施,9.74,0.167,0.3020170362530958,0.4532572328281834
HPE,Hewlett Packard Enterprise（美国）,Hewlett Packard Enterprise（美国）45400,Hewlett Packard Enterprise（美国）2024Q2,信息技术,技术硬件、存储和外围设备,7.29,1.014,0.3578675378846388,0.2099290780141842
HUT,Hut 8 Mining,Hut 8 Mining45400,Hut 8 Mining2024Q2,金融,资本市场,1.89,0.34,1.2547076438886486,-0.171276596
IBM,IBM,IBM45400,IBM2024Q2,信息技术,IT服务,7.169,0.185,0.2358036543025071,0.5497615005255074
IFX GR,英飞凌（德国）,英飞凌（德国）45400,英飞凌（德国）2024Q2,信息技术,半导体和半导体设备,6.085,0.417,0.3728827601695491,-0.071656513
INTC,英特尔,英特尔45400,英特尔2024Q2,信息技术,半导体和半导体设备,7.656,0.456,0.4180321387107732,0.432740691043274
META,Meta（Facebook）,Meta（Facebook）45400,Meta（Facebook）2024Q2,通信服务,互联网服务和基础设施,9.11,0.168,0.4201335613902722,1.5406676550278613
MRVL,Marvell,Marvell45400,Marvell2024Q2,信息技术,半导体和半导体设备,6.38,0.254,0.4854655651322228,0.681260945709282
MSFT,微软,微软45400,微软2024Q2,信息技术,软件,10.144,0.0815,0.2009538565850546,0.4934688472962816
MU,美光科技,美光科技45400,美光科技2024Q2,信息技术,半导体和半导体设备,6.618,0.568,0.3436208518878107,0.6551358983409814
NFLX,Netflix,Netflix45400,Netflix2024Q2,通信服务,媒体,7.66,0.098,0.2892983930376903,1.0375617792421743
NICE,NICE Systems（以色列）,NICE Systems（以色列）45400,NICE Systems（以色列）2024Q2,信息技术,软件,6.82,0.26,0.3303001670223094,0.1228433077899486
NOW,ServiceNow,ServiceNow45400,ServiceNow2024Q2,信息技术,软件,7.18,0.351,0.2753347953491974,0.7138321995464851
NVDA,英伟达,英伟达45400,英伟达2024Q2,信息技术,半导体和半导体设备,7.077,0.0334,0.4429252673450824,2.438010104935872
NXPI,恩智浦,恩智浦45400,恩智浦2024Q2,信息技术,半导体和半导体设备,6.31,0.16,0.3125142307922713,0.3346494444131085
OKTA,Okta（美国）,Okta（美国）45400,Okta（美国）2024Q2,信息技术,软件,6.1,0.452,0.5316027012206901,0.2630323273291184
ORCL,Oracle,Oracle45400,Oracle2024Q2,信息技术,软件,7.89,0.071,0.3423223765084717,0.498944405348346
PATH,UiPath（美国）,UiPath（美国）45400,UiPath（美国）2024Q2,信息技术,软件,6.31,0.225,0.6358544772856842,0.3524926686217007
PEGA,Pegasystems（美国）,Pegasystems（美国）45400,Pegasystems（美国）2024Q2,信息技术,软件,3.71,0.087,0.6509026871246696,0.346991037131882
PLTR,Palantir,Palantir45400,Palantir2024Q2,信息技术,软件,3.62,0.094,0.7656271598731688,2.0456852791878175
PONY,Pony.ai（中国）,Pony.ai（中国）45400,Pony.ai（中国）2024Q2,非必需消费品,汽车制造,,,,
QCOM,高通,高通45400,高通2024Q2,信息技术,半导体和半导体设备,7.14,0.17,0.2883327797600382,0.3825892487368507
QUBT,Quantum Computing（美国）,Quantum Computing（美国）45400,Quantum Computing（美国）2024Q2,信息技术,软件,3.95,0.081856919,0.9277268001291858,0.0247933884297519
SHOP,Shopify,Shopify45400,Shopify2024Q2,信息技术,软件,6.85,0.097,0.5783169823419407,0.7350044762757386
SIE GR,西门子（德国）,西门子（德国）45400,西门子（德国）2024Q2,工业,工业集团,7.068,0.336,0.2322616812198731,0.3367792661619102
SMCI,Super Micro Computer（美国）,Super Micro Computer（美国）45400,Super Micro Computer（美国）2024Q2,信息技术,技术硬件、存储和外围设备,6.94,0.15,1.1397796048749382,9.478534031413613
SNAP,Snap（美国）,Snap（美国）45400,Snap（美国）2024Q2,通信服务,互联网服务和基础设施,7.01,0.146,0.7033790952063119,0.0336448598130842
SNOW,Snowflake,Snowflake45400,Snowflake2024Q2,信息技术,软件,6.23,0.108,0.5229557697391635,0.1525586196726145
SNPS,Synopsys,Synopsys45400,Synopsys2024Q2,信息技术,软件,6.57,0.086,0.3241832011423293,0.5049257777897083
SOUN,SoundHound AI（美国）,SoundHound AI（美国）45400,SoundHound AI（美国）2024Q2,信息技术,软件,3.96,0.027,1.6380476025428203,3.6818181818181817
STNE,StoneCo（巴西）,StoneCo（巴西）45400,StoneCo（巴西）2024Q2,金融,金融科技与支付,7.32,0.53,0.4300826384861681,0.9695603156708006
STX,Seagate,Seagate45400,Seagate2024Q2,信息技术,技术硬件、存储和外围设备,6.95,-0.085,0.2780295218931458,0.3986895986895988
TDC,Teradata,Teradata45400,Teradata2024Q2,信息技术,软件,7.65,0.032,0.4235206530907244,-0.004491413
TEMN SW,Temenos Group（瑞士）,Temenos Group（瑞士）45400,Temenos Group（瑞士）2024Q2,信息技术,软件,6.45,0.127,0.5398370997210884,0.0829931972789115
TIETO FH,Tietoevry（芬兰）,Tietoevry（芬兰）45400,Tietoevry（芬兰）2024Q2,信息技术,IT服务,7.943,0.571,0.2202748439698296,-0.288848921
TRI,Thomson Reuters,Thomson Reuters45400,Thomson Reuters2024Q2,工业,专业服务,6.55,0.244,0.1868357632035629,0.2607576610632993
TSLA,特斯拉,特斯拉45400,特斯拉2024Q2,非必需消费品,汽车制造,9.066,0.0734,0.4567380322814464,-0.035141287
TSM,台积电,台积电45400,台积电2024Q2,信息技术,半导体和半导体设备,8.592,0.274,0.3533626474182875,-0.099777723
TTD,The Trade Desk（美国）,The Trade Desk（美国）45400,The Trade Desk（美国）2024Q2,信息技术,软件,7.17,0.061,0.5610231293892992,0.3390873354982053
TWLO,Twilio（美国）,Twilio（美国）45400,Twilio（美国）2024Q2,信息技术,软件,7.23,0.71,0.4430903389601655,-0.034202991
UBER,Uber,Uber45400,Uber2024Q2,工业,运输,7.11,0.09,0.371423392655457,1.3820012586532409
WDAY,Workday,Workday45400,Workday2024Q2,信息技术,软件,6.15,0.12,0.2895157255116231,0.4440853949250412
WIX,Wix.com（以色列）,Wix.com（以色列）45400,Wix.com（以色列）2024Q2,信息技术,软件,6.56,-0.008,0.3554028841844124,0.5518709388303831
WKL NA,Wolters Kluwer（荷兰）,Wolters Kluwer（荷兰）45400,Wolters Kluwer（荷兰）2024Q2,工业,专业服务,6.85,0.056,0.2152458285991897,0.2816651904340121
WRD,WeRock（中国）,WeRock（中国）45400,WeRock（中国）2024Q2,工业,机械,,,,
ZBRA,Zebra Technologies（美国）,Zebra Technologies（美国）45400,Zebra Technologies（美国）2024Q2,信息技术,技术硬件、存储和外围设备,6.95,0.22,0.4222373215462468,-0.009490492
ZS,Zscaler,Zscaler45400,Zscaler2024Q2,信息技术,软件,7.46,0.031,0.4363203189998805,0.8574272442885582
